"Symbiota_ID","Collection","Collector","Genus","Species","State_Province","County","Latitude","Longitude","Elevation","Year","Month","Day","doy","Annual_Precip","Annual_Temp","Max_Fall","Min_Fall","Mean_Fall","Precip_Fall","SPI_Year","SPI_Summer","SPI_Summer_Prior","Leaves","Colored_Leaves","Leaf_Area_Removed","Other_Pathogen_Damage"
8793169,"EIU","Parker Hampton M.","Acer","saccharum","Connecticut","Fairfield",41.3271,-73.3274,189,1976,9,22,266,1332.59,8.891666667,21.8,-2.6,8.966666667,266.43,0.741429385,1.080401858,0.857926952,1,0,1,1
4892910,"EIU","Parker H.M.","Acer","rubrum","Connecticut","Fairfield",41.3271,-73.3274,189,1976,9,22,266,1332.59,8.891666667,21.8,-2.6,8.966666667,266.43,0.741429385,1.080401858,0.857926952,1,0,1,1
13704112,"TENN",NA,"Acer","rubrum","Connecticut","Litchfield",41.7615,-73.2599,317,1980,8,30,243,1053.19,7.908333333,21.3,1.9,10.56666667,376.88,-0.773887443,-0.539706334,-0.861014007,1,0,1,1
15002476,"NY","N. L. Britton","Acer","rubrum","Connecticut","Litchfield",41.7615,-73.2599,317,1900,5,30,150,1247.7,8.758333333,20.8,-1.6,9.666666667,243.06,0.34211652,-0.528120481,-0.056096837,1,0,0,1
13342608,"IND","David Darrow","Acer","saccharum","Connecticut","Middlesex",41.4527,-72.5231,110,1975,9,19,262,1464.82,9.625,20.3,2,11.3,492.13,1.502136726,0.356031455,-1.018223908,1,0,0,0
14970214,"NY","F. W. Starmer","Acer","rubrum","Connecticut","Middlesex",41.4527,-72.5231,110,1897,4,30,120,1444.73,9.35,21.6,2,10.7,341.2,1.378331675,2.667758748,-0.461218327,1,1,0,0
14970214,"NY","F. W. Starmer","Acer","saccharum","Connecticut","Middlesex",41.4527,-72.5231,110,1897,4,30,120,1444.73,9.35,21.6,2,10.7,341.2,1.378331675,2.667758748,-0.461218327,1,0,1,0
8792683,"EIU","Ore Elisabet","Acer","rubrum","Connecticut","New Haven",41.4087,-72.9095,85,1900,1,0,15,1251.01,10.50833333,22.7,-0.6,11.16666667,229.15,0.339668111,-0.753986802,-0.353706153,1,0,0,0
8793184,"EIU","Ellington Margaret","Acer","saccharum","Connecticut","New Haven",41.4087,-72.9095,85,1954,11,10,314,1312.23,10.075,21.6,0.6,11.76666667,427.49,0.704582598,-0.304416974,-0.270284516,1,1,1,0
15169573,"NY","A. T. Beals","Acer","rubrum","Connecticut","Windham",41.8325,-71.9791,138,1923,10,13,286,1186.23,8.441666667,22.6,-0.6,10.83333333,314.87,0.346129382,-0.529706221,2.132399247,1,1,1,0
14855756,"NY","T. J. Delendick","Acer","rubrum","Delaware","New Castle",39.5657,-75.6751,17,1975,9,24,267,1368.91,12.96666667,23.6,4.7,14.86666667,350.17,2.179960617,1.401886313,-0.273232946,1,0,1,0
14419539,"DOV",NA,"Acer","rubrum","Delaware","Kent",39.0975,-75.5721,17,1979,8,21,233,1409.97,12.6,26.5,4.3,14.36666667,150.08,2.097621903,0.793843363,0.267071446,1,0,1,1
15322305,"DOV",NA,"Acer","rubrum","Delaware","Kent",39.0975,-75.5721,17,1974,9,15,258,1007.16,13.025,25.5,2.6,13.5,182.61,-0.434287535,-0.493012541,-0.509390359,1,0,1,0
14419540,"DOV",NA,"Acer","rubrum","Delaware","Kent",39.0975,-75.5721,17,1979,8,21,233,1409.97,12.6,26.5,4.3,14.36666667,150.08,2.097621903,0.793843363,0.267071446,1,0,1,0
15322373,"DOV",NA,"Acer","rubrum","Delaware","New Castle",39.5657,-75.6751,17,1933,4,20,110,1264.53,12.825,27.1,1.2,13.86666667,346.36,1.477146296,1.882442536,-0.96397562,0,0,0,0
14419533,"DOV",NA,"Acer","rubrum","Delaware","New Castle",39.5657,-75.6751,17,1897,4,27,117,1123.25,11.9,24.6,5,13.76666667,222.11,0.525875867,0.477288454,-0.791618684,0,0,0,0
14419536,"DOV",NA,"Acer","rubrum","Delaware","New Castle",39.5657,-75.6751,17,1919,4,2,92,1291.9,12.66666667,23.4,2.5,13.46666667,177.39,1.661434741,2.185078658,-1.09081576,0,0,0,0
14419537,"DOV",NA,"Acer","rubrum","Delaware","New Castle",39.5657,-75.6751,17,1923,4,13,103,984.3,12.46666667,26,3.3,14.46666667,87.48,-0.409706141,-1.139569306,-0.042513362,0,0,0,0
14419504,"DOV",NA,"Acer","rubrum","Delaware","New Castle",39.5657,-75.6751,17,1965,4,13,103,671.31,12.21666667,26.4,2.7,13.6,166.34,-2.517139121,-1.061583862,-1.549321623,0,0,0,0
